Rshoulder_x,Rshoulder_y,Rshoulder_z,Lshoulder_x,Lshoulder_y,Lshoulder_z,Relbow_x,Relbow_y,Relbow_z,Lelbow_x,Lelbow_y,Lelbow_z,Rhip_x,Rhip_y,Rhip_z,Lhip_x,Lhip_y,Lhip_z,Rknee_x,Rknee_y,Rknee_z,Lknee_x,Lknee_y,Lknee_z,Rtoes_x,Rtoes_y,Rtoes_z,Ltoes_x,Ltoes_y,Ltoes_z,Rankle_x,Rankle_y,Rankle_z,Lankle_x,Lankle_y,Lankle_z,LelbowWea_x,LelbowWea_y,LelbowWea_z,Rpelviswea_x,Rpelviswea_y,Rpelviswea_z,Lpelviswea_x,Lpelviswea_y,Lpelviswea_z,Rkneewea_x,Rkneewea_y,Rkneewea_z,Lkneewea_x,Lkneewea_y,Lkneewea_z
350,10,270,9.96,9.92,89.11,-0.01,90,269.99,334.99,89.99,90,3.22,270.13,270.01,3.22,270.13,272.34,349.52,89.73,269.99,359.57,79.53,356.63,293.77,93.69,267.5,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,261.17,24.38,269.99,270,356.77,359.86,90.01,356.77,359.86,92.34,14.93,358.1,89.86,14.85,1.89,89.08
350,10,270,9.96,9.92,89.11,-0.01,90,269.99,334.99,89.99,90,3.22,270.13,270.01,3.22,270.13,272.34,349.52,89.73,269.99,359.57,79.53,356.63,293.77,93.69,267.5,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,261.17,24.38,269.99,270,356.77,359.86,90.01,356.77,359.86,92.34,14.93,358.1,89.86,14.85,1.89,89.08
349.56,9.98,270,9.96,9.92,89.11,0,90,269.99,334.99,89.99,90,3.73,270.12,270.04,4.2,270.17,272.34,348.87,89.74,269.99,359.41,77.78,356.22,293.77,93.69,267.5,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,261.59,24.38,269.99,270,356.26,359.87,89.99,355.64,359.82,92.35,15.56,358.08,89.81,16.47,1.89,89.06
358.24,10.12,269.99,21.29,12.15,95.03,0.24,90,269.99,334.99,89.99,90,359,270.11,270.49,26.03,271.14,272.61,335.51,89.76,270.05,357.34,60.28,352.84,301.56,92.96,268.13,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.62,24.38,269.99,270,1.67,359.82,89.51,331.25,358.71,92.67,29.38,357.4,88.51,36.42,1.65,88.82
3.86,10.09,269.99,25.58,13.59,97.64,0.23,90,269.99,334.99,89.99,90,352.45,270.11,270.46,27.34,271.21,272.65,334.04,89.75,270.05,357.85,66.58,352.34,310.2,92.52,268.49,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.61,24.38,269.99,270,9.86,359.68,89.49,331.11,358.7,92.67,29.87,357.35,88.45,30.55,1.8,88.87
4.72,10.08,269.99,27.18,14.22,98.7,0.22,90,269.99,334.99,89.99,90,351.35,270.11,270.45,27.49,271.22,272.66,333.47,89.75,270.06,358.14,69.31,352.47,313.98,92.38,268.59,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.58,24.38,269.99,270,12.71,359.64,89.48,331.1,358.7,92.67,30.04,357.33,88.43,28.4,1.84,88.89
6.88,10.05,269.99,28.31,14.71,99.47,0.18,90,269.99,334.99,89.99,90,347.93,270.11,270.43,28.17,271.26,272.68,332.89,89.75,270.06,358.41,71.54,352.72,316.96,92.29,268.65,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.54,24.38,269.99,270,14.66,359.6,89.47,331.1,358.7,92.67,30.22,357.32,88.4,27.38,1.86,88.9
7.95,10.03,269.99,29.05,15.05,99.99,0.15,90,269.99,334.99,89.99,90,346.46,270.11,270.42,28.41,271.27,272.69,332.16,89.75,270.06,358.56,72.82,352.92,317.47,92.28,268.66,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.53,24.38,269.99,270,15.02,359.6,89.47,331.11,358.7,92.67,30.35,357.3,88.39,25.92,1.88,88.92
9.86,10,269.99,29.74,15.37,100.48,0.04,90,269.99,334.99,89.99,90,343.71,270.11,270.4,28.45,271.27,272.7,329.79,89.74,270.08,358.86,75.27,353.4,321.85,92.18,268.73,293.77,93.69,267.5,342.43,86.03,279.3,342.36,93.64,266.42,24.38,269.99,270,16.6,359.57,89.46,331.13,358.7,92.67,30.47,357.29,88.37,24.94,1.9,88.93
9.95,10,270.02,30.47,15.73,101.02,359.65,90,269.99,334.99,89.99,90,343.85,270.11,270.4,28.23,271.26,272.69,322.49,89.72,270.12,359.25,78.63,354.3,323.19,92.16,268.74,293.77,93.69,267.5,342.66,86.13,279.28,342.36,93.64,266.31,24.38,269.99,270,12.06,359.65,89.5,331.14,358.7,92.67,30.59,357.28,88.35,23.99,1.91,88.93
