Chest_x,Chest_y,Chest_z,Neck_x,Neck_y,Neck_z,Rhip_x,Rhip_y,Rhip_z,Rknee_z,Rankle_x,Rankle_y,Rankle_z,Rshoulder_x,Rshoulder_y,Rshoulder_z,Relbow_z,Lhip_x,Lhip_y,Lhip_z,Lknee_z,Lankle_x,Lankle_y,Lankle_z,Lshoulder_x,Lshoulder_y,Lshoulder_z,Lelbow_z,Safety_Score
2.86,-5.16,-6.3,2.86,-5.16,-6.3,2.29,-8.02,23.49,9.17,5.16,-3.44,10.89,-4.58,5.16,-21.2,-11.46,-1.72,10.31,-14.9,-37.24,8.02,2.29,-21.2,22.35,-24.06,2.29,38.96,0
2.86,-5.16,-6.3,2.86,-5.16,-6.3,2.29,-8.02,23.49,9.17,5.16,-3.44,10.31,-4.58,5.16,-21.2,-11.46,-1.72,10.31,-14.32,-37.82,8.02,1.72,-22.35,22.35,-24.06,2.29,38.96,0
2.86,-5.16,-6.3,2.86,-5.73,-6.3,2.29,-7.45,23.49,9.17,5.16,-3.44,10.31,-4.58,4.58,-21.2,-11.46,-1.72,10.31,-14.32,-37.82,8.02,1.72,-23.49,22.35,-24.06,2.29,38.96,0
2.29,-5.16,-6.3,2.86,-5.73,-6.3,2.29,-7.45,23.49,8.59,4.58,-3.44,10.31,-5.16,4.01,-21.2,-10.89,-1.15,9.74,-14.32,-37.82,8.02,1.72,-25.21,22.35,-24.06,1.72,39.53,0
2.29,-5.16,-6.3,2.86,-5.73,-6.88,2.29,-7.45,23.49,8.59,4.58,-3.44,9.74,-5.16,4.01,-20.63,-10.89,-1.15,9.74,-14.32,-38.39,8.02,1.15,-26.36,22.35,-24.06,1.72,39.53,0
2.29,-5.16,-6.3,2.86,-5.73,-6.88,2.86,-7.45,23.49,8.59,4.58,-3.44,9.74,-5.16,3.44,-20.63,-10.89,-1.15,9.74,-14.32,-38.39,8.02,1.15,-28.07,21.77,-24.06,1.72,39.53,0
2.29,-5.16,-6.3,2.86,-5.73,-6.88,2.86,-7.45,22.92,8.02,4.01,-3.44,9.74,-5.16,3.44,-20.63,-10.89,-1.15,9.74,-13.75,-38.39,8.02,0.57,-29.22,21.77,-24.06,1.72,39.53,0
2.29,-5.16,-5.73,2.86,-5.73,-6.88,2.86,-7.45,22.92,8.02,4.01,-3.44,9.17,-5.16,2.86,-20.63,-10.89,-1.15,9.17,-13.75,-38.96,8.02,0.57,-30.94,21.77,-24.06,1.72,40.11,0
2.29,-4.58,-5.73,2.86,-5.73,-7.45,2.86,-7.45,22.92,8.02,3.44,-3.44,9.17,-5.73,2.29,-20.63,-10.89,-1.15,9.17,-13.75,-38.96,8.02,0.57,-32.09,21.2,-24.06,1.72,40.11,0
1.72,-4.58,-5.73,2.29,-5.73,-7.45,2.86,-7.45,22.92,8.02,2.86,-3.44,8.59,-5.73,2.29,-20.63,-10.89,-1.15,9.17,-13.75,-38.96,8.59,0.57,-33.23,21.2,-24.06,1.72,40.11,0
1.72,-4.58,-5.73,2.29,-5.73,-7.45,2.86,-7.45,22.92,7.45,2.29,-3.44,8.59,-5.73,1.72,-20.63,-10.89,-1.15,9.17,-13.75,-39.53,8.59,0,-34.38,20.63,-24.06,1.72,40.68,0
1.72,-4.58,-5.73,2.29,-5.73,-7.45,2.86,-7.45,22.35,7.45,2.29,-3.44,8.02,-6.3,1.72,-20.05,-10.31,-0.57,9.17,-13.18,-39.53,8.02,0,-35.52,20.63,-24.06,1.72,40.68,0
1.72,-4.58,-5.73,2.29,-5.73,-8.02,2.86,-6.88,22.35,7.45,1.72,-3.44,8.02,-6.3,1.15,-20.05,-10.31,-0.57,8.59,-13.18,-39.53,7.45,0,-36.1,20.05,-24.06,1.72,40.68,0
1.72,-4.58,-5.73,2.29,-5.73,-8.02,2.86,-6.88,22.35,6.88,1.15,-3.44,8.02,-6.3,1.15,-20.05,-10.31,-0.57,8.59,-13.18,-40.11,6.88,-0.57,-36.67,20.05,-23.49,1.72,41.25,0
1.15,-4.01,-5.73,2.29,-5.73,-8.02,2.86,-6.88,22.35,6.88,0.57,-3.44,7.45,-6.3,0.57,-20.05,-10.31,-0.57,8.59,-13.18,-40.11,6.3,-0.57,-37.82,20.05,-23.49,1.72,41.25,0
1.15,-4.01,-5.73,2.29,-5.73,-8.59,3.44,-6.88,22.35,6.88,0,-2.86,7.45,-6.88,0.57,-20.05,-10.31,-0.57,8.02,-12.61,-40.11,5.73,-0.57,-38.39,19.48,-23.49,1.72,41.25,0
1.15,-4.01,-5.73,2.29,-5.73,-8.59,3.44,-6.88,21.77,6.3,-0.57,-2.86,6.88,-6.88,0,-20.05,-10.31,-0.57,8.02,-12.61,-40.68,5.16,-1.15,-38.96,19.48,-23.49,1.72,41.25,0.25
1.15,-4.01,-5.73,1.72,-5.73,-8.59,3.44,-6.88,21.77,6.3,-0.57,-2.86,6.3,-7.45,0,-20.05,-10.31,-0.57,8.02,-12.61,-40.68,4.58,-1.15,-39.53,18.91,-23.49,1.72,41.83,0.25
0.57,-4.01,-5.73,1.72,-5.73,-9.17,3.44,-6.88,21.77,6.3,-0.57,-2.86,5.73,-7.45,-0.57,-19.48,-9.74,0,7.45,-12.61,-40.68,3.44,-1.72,-40.68,18.91,-23.49,1.72,41.83,0.25
0.57,-4.01,-5.73,1.72,-5.73,-9.17,3.44,-6.3,21.77,6.3,-0.57,-2.86,5.16,-7.45,-0.57,-19.48,-9.74,0,7.45,-12.03,-41.25,2.86,-1.72,-41.25,18.33,-23.49,1.72,41.83,0.25
0.57,-4.01,-5.16,1.72,-5.73,-9.17,3.44,-6.3,21.77,6.3,-0.57,-2.86,4.58,-8.02,-1.15,-19.48,-9.74,0,7.45,-12.03,-41.25,2.29,-2.29,-41.83,18.33,-23.49,1.72,41.83,0.25
0.57,-3.44,-5.16,1.72,-5.73,-9.17,3.44,-6.3,21.77,5.73,0,-2.86,4.01,-8.02,-1.15,-19.48,-9.74,0,6.88,-12.03,-41.25,2.29,-2.29,-42.4,17.76,-23.49,1.72,41.83,0.25
0.57,-3.44,-5.16,1.72,-5.73,-9.74,3.44,-6.3,21.77,5.73,0,-2.86,3.44,-8.02,-1.15,-19.48,-9.74,0,6.88,-12.03,-41.83,2.29,-2.86,-42.97,17.76,-23.49,1.72,42.4,0.25
0,-3.44,-5.16,1.15,-5.73,-9.74,3.44,-6.3,21.77,5.73,0,-2.86,2.86,-8.59,-1.72,-19.48,-9.17,0,6.88,-12.03,-41.83,2.86,-3.44,-44.12,17.19,-23.49,1.72,42.4,0.25
0,-3.44,-5.16,1.15,-5.73,-9.74,3.44,-6.3,21.2,5.73,0,-2.86,2.29,-8.59,-1.72,-19.48,-9.17,0,6.88,-11.46,-42.4,3.44,-3.44,-44.69,17.19,-23.49,1.72,42.4,0.25
0,-3.44,-5.16,1.15,-5.73,-10.31,3.44,-6.3,21.2,5.73,0,-2.86,1.72,-8.59,-2.29,-18.91,-9.17,0.57,6.88,-11.46,-42.4,4.01,-4.01,-45.26,17.19,-23.49,1.15,42.4,0.25
0,-3.44,-5.16,1.15,-5.73,-10.31,3.44,-6.3,21.2,5.16,0,-2.86,1.15,-8.59,-2.29,-18.91,-9.17,0.57,6.3,-11.46,-42.97,4.01,-4.58,-46.41,16.62,-23.49,1.15,42.4,0.25
0,-3.44,-5.16,1.15,-6.3,-10.31,3.44,-6.3,21.2,5.16,0,-2.86,0.57,-9.17,-2.29,-18.91,-8.59,0.57,6.3,-11.46,-42.97,4.58,-4.58,-46.98,16.62,-23.49,1.15,42.4,0.25
-0.57,-3.44,-5.16,0.57,-6.3,-10.31,3.44,-6.3,21.2,5.16,0,-2.86,0,-9.17,-2.86,-18.91,-8.59,0.57,6.3,-11.46,-43.54,5.16,-5.16,-47.56,16.04,-23.49,1.15,42.4,0.25
-0.57,-3.44,-5.16,0.57,-6.3,-10.89,3.44,-6.3,21.2,5.16,0,-2.86,0,-9.17,-2.86,-18.91,-8.59,0.57,6.3,-10.89,-43.54,5.73,-5.16,-48.7,16.04,-23.49,1.15,42.4,0.25
-0.57,-3.44,-5.16,0.57,-6.3,-10.89,3.44,-5.73,20.63,4.58,0,-2.86,0,-9.74,-2.86,-18.33,-8.59,0.57,6.3,-10.89,-43.54,6.3,-5.73,-49.27,16.04,-23.49,1.15,42.4,0.25
-0.57,-3.44,-5.16,0.57,-6.3,-10.89,3.44,-5.73,20.63,4.58,0,-2.86,0,-9.74,-3.44,-18.33,-8.02,0.57,5.73,-10.89,-44.12,6.3,-6.3,-50.42,15.47,-23.49,1.15,42.4,0.25
-0.57,-3.44,-5.16,0.57,-6.3,-11.46,3.44,-5.73,20.63,4.58,0,-2.86,0,-9.74,-3.44,-18.33,-8.02,0.57,5.73,-10.89,-44.12,6.88,-6.3,-50.99,15.47,-23.49,0.57,42.4,0.75
-1.15,-3.44,-5.16,0.57,-6.3,-11.46,3.44,-5.73,20.63,4.01,0,-2.86,0,-9.74,-3.44,-18.33,-8.02,0.57,5.73,-10.89,-44.12,6.88,-6.3,-51.57,14.9,-23.49,0.57,42.4,0.75
-1.15,-3.44,-5.16,0,-6.88,-11.46,4.01,-5.73,20.63,4.01,0,-2.86,0,-10.31,-4.01,-18.33,-8.02,0.57,5.73,-10.31,-44.69,7.45,-6.88,-52.71,14.9,-23.49,0.57,42.4,0.75
-1.15,-3.44,-5.16,0,-6.88,-12.03,4.01,-5.73,20.63,4.01,0,-2.86,0,-10.31,-4.01,-17.76,-7.45,0.57,5.16,-10.31,-44.69,8.02,-6.88,-53.29,14.9,-23.49,0.57,42.4,0.75
-1.15,-3.44,-5.16,0,-6.88,-12.03,4.01,-5.73,20.63,3.44,0,-2.86,0,-10.31,-4.01,-17.76,-7.45,0.57,5.16,-10.31,-44.69,8.02,-7.45,-54.43,14.32,-23.49,0.57,42.4,0.75
-1.15,-3.44,-5.16,0,-6.88,-12.03,4.01,-5.73,20.63,3.44,0,-2.86,0,-10.31,-4.01,-17.76,-7.45,0.57,5.16,-10.31,-45.26,8.02,-7.45,-55,14.32,-23.49,0.57,42.4,0.75
-1.72,-3.44,-5.16,0,-6.88,-12.03,4.01,-5.73,20.05,3.44,0,-2.86,0,-10.89,-4.58,-17.76,-7.45,0.57,5.16,-10.31,-45.26,8.59,-7.45,-55.58,14.32,-23.49,0,42.4,0.75
-1.72,-3.44,-5.16,0,-6.88,-12.61,4.01,-5.73,20.05,3.44,0,-2.86,0,-10.89,-4.58,-17.76,-6.88,0.57,4.58,-10.31,-45.26,8.59,-7.45,-56.72,13.75,-23.49,0,42.4,0.75
-1.72,-3.44,-5.16,-0.57,-6.88,-12.61,4.01,-5.73,20.05,2.86,0,-2.86,0,-10.89,-4.58,-17.76,-6.88,0.57,4.58,-9.74,-45.26,8.59,-8.02,-57.3,13.75,-23.49,0,42.4,0.75
-1.72,-2.86,-5.16,-0.57,-6.88,-12.61,4.01,-5.73,20.05,2.86,0,-2.86,0,-10.89,-5.16,-17.76,-6.88,0.57,4.58,-9.74,-45.84,8.59,-8.02,-57.87,13.75,-23.49,0,42.4,0.75
-1.72,-2.86,-5.16,-0.57,-7.45,-13.18,4.01,-5.73,20.05,2.86,0,-2.86,0,-11.46,-5.16,-17.76,-6.88,0.57,4.58,-9.74,-45.84,8.59,-8.02,-58.44,13.18,-23.49,0,41.83,0.75
-2.29,-2.86,-5.16,-0.57,-7.45,-13.18,4.01,-5.73,19.48,2.86,0,-2.86,0,-11.46,-5.16,-17.19,-6.3,1.15,4.58,-9.17,-46.41,8.59,-8.02,-59.01,13.18,-23.49,0,41.83,0.75
-2.29,-2.86,-5.16,-0.57,-7.45,-13.18,4.01,-5.73,19.48,2.29,0,-2.86,0,-11.46,-5.16,-17.19,-6.3,1.15,4.58,-9.17,-46.41,8.02,-8.59,-59.59,13.18,-23.49,0,41.83,0.75
-2.29,-2.86,-5.16,-1.15,-7.45,-13.75,4.01,-5.73,19.48,2.29,0,-2.86,0,-11.46,-5.16,-17.19,-6.3,1.15,4.58,-8.59,-46.98,8.02,-8.59,-60.16,12.61,-23.49,0,41.83,0.75
-2.29,-2.86,-5.16,-1.15,-7.45,-13.75,4.01,-5.16,19.48,2.29,0,-2.86,0,-11.46,-5.16,-17.19,-6.3,1.15,4.58,-8.59,-47.56,7.45,-8.59,-60.73,12.61,-23.49,-0.57,41.83,0.75
-2.29,-2.86,-5.16,-1.15,-7.45,-13.75,4.01,-5.16,19.48,2.29,0,-2.86,0,-12.03,-5.16,-17.19,-5.73,1.15,4.01,-8.02,-47.56,7.45,-8.59,-61.31,12.61,-24.06,-0.57,41.83,0.75
-2.29,-2.86,-5.16,-1.15,-7.45,-13.75,4.01,-5.16,18.91,1.72,0,-2.86,0,-12.03,-5.16,-17.19,-5.73,1.15,4.01,-8.02,-48.13,7.45,-9.17,-61.88,12.61,-24.06,-0.57,41.25,0.75
-2.86,-2.86,-5.16,-1.15,-7.45,-14.32,4.01,-5.16,18.91,1.72,0,-2.86,0,-12.03,-5.16,-17.19,-5.73,1.15,4.01,-8.02,-48.13,6.88,-9.17,-62.45,12.03,-24.06,-0.57,41.25,0.75
-2.86,-2.86,-5.16,-1.15,-7.45,-14.32,4.01,-5.16,18.91,1.72,0,-2.86,0,-12.03,-5.16,-17.19,-5.16,1.15,4.01,-7.45,-48.7,6.88,-9.17,-63.03,12.03,-24.06,-0.57,41.25,0.5
-2.86,-2.86,-5.16,-1.15,-7.45,-14.32,4.01,-5.16,18.91,1.15,0,-2.86,0,-12.03,-5.16,-17.19,-5.16,1.15,4.01,-7.45,-48.7,6.88,-9.17,-63.03,12.03,-24.06,-0.57,41.25,0.5
-2.86,-2.29,-5.16,-1.15,-7.45,-14.9,4.01,-4.58,18.91,1.15,0,-2.86,0,-12.03,-5.16,-17.19,-5.16,1.15,4.01,-6.88,-49.27,6.3,-9.74,-63.6,12.03,-24.06,-0.57,41.25,0.5
-2.86,-2.29,-5.16,-1.72,-7.45,-14.9,4.58,-4.58,18.91,1.15,0,-2.86,0,-12.03,-5.16,-17.19,-4.58,1.15,4.01,-6.88,-49.27,6.3,-9.74,-64.17,12.03,-24.06,-1.15,40.68,0.5
-2.86,-2.29,-5.16,-1.72,-7.45,-14.9,4.58,-4.58,18.33,1.15,0,-2.86,0,-12.61,-5.16,-17.19,-4.58,1.15,4.01,-6.3,-49.85,6.3,-9.74,-64.74,12.03,-24.06,-1.15,40.68,0.5
-2.86,-2.29,-5.16,-1.72,-7.45,-14.9,4.58,-4.58,18.33,0.57,0,-2.86,0,-12.61,-5.16,-16.62,-4.58,1.15,4.01,-6.3,-50.42,5.73,-9.74,-65.32,11.46,-23.49,-1.15,40.68,0.5
-2.86,-2.29,-5.16,-1.72,-7.45,-15.47,4.58,-4.58,18.33,0.57,0,-2.86,0,-12.61,-5.16,-16.62,-4.58,1.15,4.01,-6.3,-50.42,5.73,-9.74,-65.32,11.46,-23.49,-1.15,40.68,0.5
-3.44,-2.29,-5.16,-1.72,-7.45,-15.47,4.58,-4.58,18.33,0.57,0,-2.86,0,-12.61,-5.16,-16.62,-4.01,1.15,4.01,-5.73,-50.42,5.73,-9.74,-65.89,11.46,-23.49,-1.15,40.68,0.5
-3.44,-2.29,-5.16,-1.72,-6.88,-15.47,4.58,-4.01,18.33,0,0,-2.86,0,-12.61,-5.16,-16.62,-4.01,1.15,4.01,-5.73,-50.99,5.16,-10.31,-66.46,11.46,-23.49,-1.15,40.68,0.5
-3.44,-2.29,-5.16,-1.72,-6.88,-15.47,4.58,-4.01,18.33,0,0,-2.86,0,-12.61,-5.16,-16.62,-4.01,1.15,4.01,-5.16,-50.99,5.16,-10.31,-66.46,11.46,-23.49,-1.15,40.11,0.5
-3.44,-1.72,-5.16,-1.72,-6.88,-16.04,4.58,-4.01,17.76,0,0,-2.86,0,-12.61,-5.16,-16.62,-3.44,1.15,4.01,-5.16,-51.57,4.58,-10.31,-67.04,11.46,-23.49,-1.15,40.11,0.5
-3.44,-1.72,-5.16,-1.72,-6.88,-16.04,4.58,-4.01,17.76,0,0,-2.86,0,-12.61,-5.16,-16.62,-3.44,1.72,4.01,-4.58,-51.57,4.58,-10.31,-67.61,11.46,-23.49,-1.15,40.11,0.5
-3.44,-1.72,-5.16,-1.72,-6.88,-16.04,4.58,-4.01,17.76,-0.57,0,-2.86,0,-12.61,-5.16,-16.62,-3.44,1.72,4.01,-4.58,-52.14,4.58,-10.31,-67.61,11.46,-23.49,-1.15,40.11,0.5
